CodigoCompraAgil;RutProveedor;RazonSocial;EsEMT;EstadoCotizacionID;JustificacionInadmisibilidad;ProveedorSeleccionado;EstadoPorComprador;IDOrdenCompra;FechaCreacion;FechaVigencia;ValorNeto;TotalImpuesto;MontoDespacho;MontoTotal;NombreImpuesto;PorcentajeImpuesto;DescripcionCotizacion;Descripcion;IDCotizacion;CodigoSucursalEmpresa;CodigoEmpresa;Activo;TotalProductosCotizados
1057532-6-COT26;77.660.833-5;INGENIERÍA , SERVICIOS Y ABASTECIMIENTO ISEVEN LIMITADA;1;3;El producto o servicio ofertado no cumple con las especificaciones solicitadas.;0;;;2026-01-13T19:31:49.897Z;2026-02-12T19:31:33Z;622848;118341;0;741189;IVA;19;Contáctanos al +56984874329 o al correo proyectos@isevenchile.cl;Contáctanos al +56984874329 o al correo proyectos@isevenchile.cl;571034006;1264522;1850423;;1
1057532-2-COT26;9.514.841-7;JOSÉ LUIS DONATO OLAVE REBOLLEDO;1;3;El producto o servicio ofertado no cumple con las especificaciones solicitadas.;0;;;2026-01-05T21:49:21.607Z;2026-02-04T21:48:31Z;93795;17821;10000;111616;IVA;19;Se adjunta descripción técnica. Despacho en 3 a 4 días hábiles;Se adjunta descripción técnica. Despacho en 3 a 4 días hábiles;570898072;53458;52179;;1
1057532-2-COT26;77.144.559-4;Inversiones E-Trading SpA;1;3;El producto o servicio ofertado no cumple con las especificaciones solicitadas.;0;;;2026-01-05T16:55:03.433Z;2026-02-04T16:43:20Z;184950;35141;0;220091;IVA;19;SE OFERTAN EQUIPOS B30 TALKPOD PORTATIL ANALOGO TALKPOD UHF 400-480 MHZ, 16 CANALES EN 4 ZONAS, 5W. CONEXION DE CARGA POR PUERTO USB-C. INCLUYE: BATERIA,, CARGADOR, ANTENA,CLIP, STRAP Y MANUAL. DESPACHO 1 DIA HABIL. PROGRAMACION INCLUIDA.;SE OFERTAN EQUIPOS B30 TALKPOD PORTATIL ANALOGO TALKPOD UHF 400-480 MHZ, 16 CANALES EN 4 ZONAS, 5W. CONEXION DE CARGA POR PUERTO USB-C. INCLUYE: BATERIA,, CARGADOR, ANTENA,CLIP, STRAP Y MANUAL. DESPACHO 1 DIA HABIL. PROGRAMACION INCLUIDA.;570894790;1129522;1719680;;1
1057532-2-COT26;9.514.841-7;JOSÉ LUIS DONATO OLAVE REBOLLEDO;1;3;El producto o servicio ofertado no cumple con las especificaciones solicitadas.;0;;;2026-01-05T21:45:21.083Z;2026-02-04T21:36:58Z;244500;46455;10000;290955;IVA;19;Se cotiza radio doble banda. Cada una con antena Quansheng de 19cm, largo alcance. Se adjunta descripción técnica. Despacho en 3 a 4 días hábiles;Se cotiza radio doble banda. Cada una con antena Quansheng de 19cm, largo alcance. Se adjunta descripción técnica. Despacho en 3 a 4 días hábiles;570898038;53458;52179;;1
1057532-2-COT26;76.156.939-2;SOCIEDAD ENERSET LIMITADA;1;2;;1;1;54150319;2026-01-05T12:41:47.443Z;2026-02-04T12:20:46Z;293750;55813;0;349563;IVA;19;Par de Radio Motorola Talkabout Modelo T210, 32 Kms, 20 Millas;Par de Radio Motorola Talkabout Modelo T210, 32 Kms, 20 Millas;570889868;648352;1250969;1;1
1057532-2-COT26;78.201.660-1;TOSCANINI S.A.;1;2;;0;;;2026-01-05T13:07:29.440Z;2026-02-04T13:02:54Z;309950;58891;10000;368841;IVA;19;Equipo Portatil 16 canales, 2 watts de potencia. Garantia 18 meses... entrega 2 dias despues de recibida la oc,  programación sin costo.;Equipo Portatil 16 canales, 2 watts de potencia. Garantia 18 meses... entrega 2 dias despues de recibida la oc,  programación sin costo.;570890416;75902;73535;;1
1057532-2-COT26;76.848.661-1;DISTRIBUIDORA BRISSA LIMITADA;1;2;;0;;;2026-01-05T12:21:46.850Z;2026-02-04T11:45:20Z;316300;60097;0;376397;IVA;19;"""PRODUCTOS ENTREGADOS EN DIRECCION INDICADA, SIN COSTO Y EN EL PLAZO DE 2 DÍAS HÁBILES. Contacto: chilecompras@brissa.cl | +56 9 6507 4651""";"""PRODUCTOS ENTREGADOS EN DIRECCION INDICADA, SIN COSTO Y EN EL PLAZO DE 2 DÍAS HÁBILES. Contacto: chilecompras@brissa.cl | +56 9 6507 4651""";570889412;1420498;1719887;;1
1057532-2-COT26;13.619.069-5;SUSAN EVELYN BETANCUR PARRA;1;2;;0;;;2026-01-06T00:20:07.240Z;2026-02-05T09:58:57Z;335210;63690;10000;398900;IVA;19;SE COTIZAN 5 EQUIPOS MOTOROLA T210 SEGUN ESPECIFICACIONES SOLICITADAS LOS CUALES TENEMOS EN STOCK.;SE COTIZAN 5 EQUIPOS MOTOROLA T210 SEGUN ESPECIFICACIONES SOLICITADAS LOS CUALES TENEMOS EN STOCK.;570899358;761316;1359611;;1
1057532-2-COT26;78.133.122-8;INVERSIONES LOS PINOS SPA;1;2;;0;;;2026-01-06T12:29:25.243Z;2026-02-05T12:28:27Z;344540;65463;0;410003;IVA;19;plazo de entrega 3 dias habiles. CONTACTO COMPRA Juan Pablo Contreras Miranda-  +569 990 979 96- juanpablocontrerasmiranda@gmail.com;plazo de entrega 3 dias habiles. CONTACTO COMPRA Juan Pablo Contreras Miranda-  +569 990 979 96- juanpablocontrerasmiranda@gmail.com;570906245;1458547;2039894;;1
1057532-2-COT26;77.617.713-K;SURVEN SPA;1;2;;0;;;2026-01-05T09:58:43.290Z;2026-02-04T10:28:57Z;345000;65550;0;410550;IVA;19;PLAZO DE ENTREGA 03 DIAS HABILES EN Av. Manuel Rodriguez #759, Osorno, CONTACTO DANIEL FONO 642-270654;PLAZO DE ENTREGA 03 DIAS HABILES EN Av. Manuel Rodriguez #759, Osorno, CONTACTO DANIEL FONO 642-270654;570887161;1252503;1838593;;1
