CodigoCompraAgil;RutProveedor;CodigoProducto;NombreProducto;Descripcion;Cantidad;PrecioUnitario;MontoTotalProducto
1057532-120-COT26;77.344.133-2;90101701;Gestión de cafetería;Servicio de cafetería para Jornada, 2 días, para 20 personas, los días Lunes 06 y Martes 07 de abril de 2026, en Sala de Capacitación ubicada en Av. Manuel Rodriguez 759, Osorno. Jornadas AM y PM. Realizar una jornada de inducción para los profesionales funcionarios de la Ley 19.664, que iniciaron el Periodo Asistencia Obligatorio e ingresan a la Etapa de Destinación y Formación.;80;3980;318400
1057532-100-COT26;77.739.894-6;72102602;Instalación de ventanas, puertas o accesorios;Adquisición y servicio de instalación de tres (3) mallas mosquiteras para ventanas./ Según Especificaciones adjuntas.;3;64300;192900
1057532-100-COT26;77.989.117-8;72102602;Instalación de ventanas, puertas o accesorios;Adquisición y servicio de instalación de tres (3) mallas mosquiteras para ventanas./ Según Especificaciones adjuntas.;3;455557;1366671
1057532-118-COT26;15.422.299-5;90101701;Gestión de cafetería;Servicio de cafetería para Capacitación, 1 día, para 100 personas, el día Martes 07 de abril de 2026, en Auditorio del Hospital Base San Jose de Osorno. Jornada de actualización de conocimientos respecto de estrategias de prevención, tratamiento y rehabilitación de enfermedades respiratorias agudas y crónicas, con enfoque de curso de vida, en profesionales de la salud de la atención primaria, en contexto de preparación de Campaña de Invierno.;100;4034;403400
1057532-118-COT26;78.005.028-4;90101701;Gestión de cafetería;Servicio de cafetería para Capacitación, 1 día, para 100 personas, el día Martes 07 de abril de 2026, en Auditorio del Hospital Base San Jose de Osorno. Jornada de actualización de conocimientos respecto de estrategias de prevención, tratamiento y rehabilitación de enfermedades respiratorias agudas y crónicas, con enfoque de curso de vida, en profesionales de la salud de la atención primaria, en contexto de preparación de Campaña de Invierno.;100;4444;444400
1057532-118-COT26;77.788.011-K;90101701;Gestión de cafetería;Servicio de cafetería para Capacitación, 1 día, para 100 personas, el día Martes 07 de abril de 2026, en Auditorio del Hospital Base San Jose de Osorno. Jornada de actualización de conocimientos respecto de estrategias de prevención, tratamiento y rehabilitación de enfermedades respiratorias agudas y crónicas, con enfoque de curso de vida, en profesionales de la salud de la atención primaria, en contexto de preparación de Campaña de Invierno.;100;5000;500000
1057532-118-COT26;77.788.011-K;90101701;Gestión de cafetería;Servicio de cafetería para Capacitación, 1 día, para 100 personas, el día Martes 07 de abril de 2026, en Auditorio del Hospital Base San Jose de Osorno. Jornada de actualización de conocimientos respecto de estrategias de prevención, tratamiento y rehabilitación de enfermedades respiratorias agudas y crónicas, con enfoque de curso de vida, en profesionales de la salud de la atención primaria, en contexto de preparación de Campaña de Invierno.;100;5000;500000
1057532-117-COT26;15.422.299-5;90101701;Gestión de cafetería;Servicio de cafetería para Capacitación, 1 día, para 100 personas, el día Lunes 06 de abril de 2026, en Auditorio del Hospital Base San Jose de Osorno. Actualizar conocimientos respecto de estrategias de prevención, tratamiento y rehabilitación de enfermedades respiratorias agudas y crónicas, con enfoque de curso de vida, en profesionales de la salud de la atención primaria de la provincia de Osorno, en contexto de preparación de Campaña de Invierno.;100;4034;403400
1057532-117-COT26;78.005.028-4;90101701;Gestión de cafetería;Servicio de cafetería para Capacitación, 1 día, para 100 personas, el día Lunes 06 de abril de 2026, en Auditorio del Hospital Base San Jose de Osorno. Actualizar conocimientos respecto de estrategias de prevención, tratamiento y rehabilitación de enfermedades respiratorias agudas y crónicas, con enfoque de curso de vida, en profesionales de la salud de la atención primaria de la provincia de Osorno, en contexto de preparación de Campaña de Invierno.;100;4444;444400
1057532-117-COT26;77.788.011-K;90101701;Gestión de cafetería;Servicio de cafetería para Capacitación, 1 día, para 100 personas, el día Lunes 06 de abril de 2026, en Auditorio del Hospital Base San Jose de Osorno. Actualizar conocimientos respecto de estrategias de prevención, tratamiento y rehabilitación de enfermedades respiratorias agudas y crónicas, con enfoque de curso de vida, en profesionales de la salud de la atención primaria de la provincia de Osorno, en contexto de preparación de Campaña de Invierno.;100;5000;500000
1057532-110-COT26;96.556.940-5;44121708;Marcadores;plumones de pizarra color negro;40;393;15720
1057532-110-COT26;96.556.940-5;44121708;Marcadores;plumones de pizarra color azul;40;393;15720
1057532-110-COT26;96.556.940-5;44121708;Marcadores;plumones de pizarra color rojo;40;444;17760
1057532-110-COT26;96.556.940-5;44121708;Marcadores;plumones de pizarra color verde;40;413;16520
1057532-110-COT26;96.556.940-5;44121618;Tijeras;tijeras multiuso 7 ½;30;1039;31170
