CodigoLicitacion;Correlativo;Categoria;CodigoProducto;NombreProducto;DescripcionItem;UnidadMedida;Cantidad;RutGanador;NombreGanador;MontoUnitarioGanador;CantidadAdjudicada
1057532-109-LP25;1;Servicios agrícolas, pesqueros, forestales y relacionados con la fauna / Producción, administración y protección de cultivos / Protección de cultivos;70141605;Servicios integrados de gestión de plagas;CONVENIO POR EL SERVICIO DE DESRATIZACION, SANITIZACION, DESINSECTACION Y OTRAS DE PLAGAS PARA LA DIRECCION DEL SERVICIO DE SALUD OSORNO Y SUS ESTABLECIMIENTOS DEPENDIENTES, PARA LOS AÑOS 2026 Y 2027;Unidad;1.0;;;0.0;0.0
1057532-110-LE25;1;Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Laboratorios clínicos;85121808;Laboratorios de rayos X;Convenio de servicio informes de radiografías y mamografías ambulatorias y urgentes para los Hospitales Dependientes del S.S.O. año 2025;Unidad;1.0;;;0.0;0.0
1057532-104-R125;1;Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Evaluaciones de salud individuales;85122201;Exámenes médicos;CONVENIO DE SERVICIOS DE ARRIENDO E INFORME DE TELE ELECTROCARDIOGRAFÍA A DISTANCIA PARA LOS ESTABLECIMIENTOS DE SALUD DE LA RED DE APS DE LA PROVINCIA DE OSORNO, AÑO 2026 - 2027;Unidad;1.0;76.391.638-3;INFORME REMOTO LIMITADA;1.0;1.0
1057532-101-LE25;1;Servicios de producción y fabricación industrial / Servicios de apoyo o soporte a la fabricación / Servicios de mantenimiento y reparación de equipo de fabricación;73152101;Servicio de mantenimiento de equipo de fabricación;Mantención Equipos de Rayos X Dental;Unidad;12.0;7.632.958-3;HANS ROBERT LUDWIG LAIMBOCK LUEBERT;1.0;1.0
1057532-130-L125;1;Servicios de construcción y mantenimiento / Servicios de atención, mantenimiento y reparaciones de edificios / Servicios de apoyo para la construcción;72101506;Servicios de mantenimiento de ascensores;Servicio de certificación de Ascensores de los Hospital Pu Mülen de Quilacahuín y Füta Srüka Lawenche Künko Mapu Mo de San Juan de la Costa;Unidad;1.0;;;0.0;0.0
1057532-69-LP25;1;Servicios agrícolas, pesqueros, forestales y relacionados con la fauna / Cultivos forestales / Recursos forestales;70151903;Recursos de madera combustible;SUMINISTRO DE CHIP PARA CALDERAS DE HOSPITAL PÜ MÜLEN DE QUILACAHUIN Y HOSPITAL FÜTA SRÜKA LAWENCHE DE SAN JUAN. ESTABLECIMIENTOS DEPENDIENTES DEL SERVICIO DE SALUD OSORNO, AÑO 2026-2027;Metro Cúbico;1.0;;;0.0;0.0
1077241-20-CO25;1;Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Servicios dentales;85122005;Servicios de ortodoncia;CONFECCIÓN DE CONTENCIONES ESTAMPADAS PARA ALTAS DE TRATAMIENTO DE ORTODONCIA DEL PROGRAMA DE RESOLUCIÓN DE ORTODONCIA EN NIÑOS, NIÑAS Y ADOLESCENTES - Código BIP 40001626-0”.;Unidad;1.0;;;0.0;0.0
1057532-125-B225;1;Servicios de producción y fabricación industrial / Servicios de apoyo o soporte a la fabricación / Servicios de mantenimiento y reparación de equipo de fabricación;73152101;Servicio de mantenimiento de equipo de fabricación;Mantención de equipos Imagenología marca Siemens;Unidad;8.0;;;0.0;0.0
1057532-111-LE25;1;Equipamiento y suministros médicos / Productos para la esterilización médica / Soluciones y equipo de limpieza pre-esterilización;42281703;Equipos para el cuidado de los instrumentos;Mantención de monitores de signos vitales y desfibriladores;Unidad;696.0;76.872.632-9;SUPPORT MEDICAL SPA;1.0;1.0
1057532-111-LE25;2;Equipamiento y suministros médicos / Productos para la esterilización médica / Soluciones y equipo de limpieza pre-esterilización;42281703;Equipos para el cuidado de los instrumentos;Mantención de ventiladores mecánicos de transporte;Unidad;12.0;76.292.956-2;SERICK MAX MEDICA LIMITADA;1.0;1.0
1057532-1-L126;1;Equipos y suministros de defensa, orden público, protección y seguridad / Protección contra incendios / Equipos de prevención de incendios;46191505;Sistemas de alarma de incendio;Servicio de mantención preventiva y correctiva de 50 sensores de humo, con suministro e instalación de micas y panel Jablotron 100, integración del sistema, pruebas operativas y entrega de informes técnicos por personal certificado.;Unidad;1.0;;;0.0;0.0
1057532-97-R126;1;Servicios de transporte, almacenaje y correo / Transporte de pasajeros / Transporte de pasajeros por carretera;78111802;Servicios de autobuses regulares, recorridos fijos o servicios programados;Movilización Unidad Comunidad Terapéutica Peulla;Unidad;1.0;;;0.0;0.0
1057532-97-R126;2;Servicios de transporte, almacenaje y correo / Transporte de pasajeros / Transporte de pasajeros por carretera;78111802;Servicios de autobuses regulares, recorridos fijos o servicios programados;Movilización Unidad comunitario para personas con demencia Kümelen (usuarios y funcionarios);Unidad;1.0;;;0.0;0.0
1057532-97-R126;3;Servicios de transporte, almacenaje y correo / Transporte de pasajeros / Transporte de pasajeros por carretera;78111802;Servicios de autobuses regulares, recorridos fijos o servicios programados;Movilización Unidad comunitario para personas con demencia Kümelen (funcionarios);Unidad;1.0;78.005.774-2;TRANSPORTES C Y D SPA;1.0;1.0
1057532-97-R126;4;Servicios de transporte, almacenaje y correo / Transporte de pasajeros / Transporte de pasajeros por carretera;78111802;Servicios de autobuses regulares, recorridos fijos o servicios programados;Movilización Unidad de Memoria Ayekan;Unidad;1.0;;;0.0;0.0
1057532-97-R126;5;Servicios de transporte, almacenaje y correo / Transporte de pasajeros / Transporte de pasajeros por carretera;78111802;Servicios de autobuses regulares, recorridos fijos o servicios programados;Movilización Unidad Atención integral e intensiva de salud mental en domicilio Newen;Unidad;1.0;;;0.0;0.0
1057532-97-R126;6;Servicios de transporte, almacenaje y correo / Transporte de pasajeros / Transporte de pasajeros por carretera;78111802;Servicios de autobuses regulares, recorridos fijos o servicios programados;Movilización Unidad Centro de Salud Mental Comunitaria (COSAM) Rahue (programa atención ambulatoria domiciliaria y PAZGA);Unidad;1.0;;;0.0;0.0
1057532-97-R126;7;Servicios de transporte, almacenaje y correo / Transporte de pasajeros / Transporte de pasajeros por carretera;78111802;Servicios de autobuses regulares, recorridos fijos o servicios programados;Movilización Unidad Centro de Salud Mental Comunitaria (COSAM) Rahue (traslado funcionarios);Unidad;1.0;;;0.0;0.0
1057532-97-R126;8;Servicios de transporte, almacenaje y correo / Transporte de pasajeros / Transporte de pasajeros por carretera;78111802;Servicios de autobuses regulares, recorridos fijos o servicios programados;Movilización Unidad Centro de Salud Mental Comunitaria (COSAM) Oriente;Unidad;1.0;;;0.0;0.0
1057532-97-R126;9;Servicios de transporte, almacenaje y correo / Transporte de pasajeros / Transporte de pasajeros por carretera;78111802;Servicios de autobuses regulares, recorridos fijos o servicios programados;Movilización Unidad Centro de Salud Mental Comunitaria (COSAM) Rahue (programa atención ambulatoria domiciliaria y PAZGA) (vehículo de apoyo);Unidad;1.0;;;0.0;0.0
