CodigoLicitacion;Correlativo;Categoria;CodigoProducto;NombreProducto;DescripcionItem;UnidadMedida;Cantidad;RutGanador;NombreGanador;MontoUnitarioGanador;CantidadAdjudicada
1057532-110-LE25;1;Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Laboratorios clínicos;85121808;Laboratorios de rayos X;Convenio de servicio informes de radiografías y mamografías ambulatorias y urgentes para los Hospitales Dependientes del S.S.O. año 2025;Unidad;1.0;96.995.590-3;SERVICIOS MÉDICOS AMBULATORIOS ATRYS HEALTH CHILE SPA;1.0;1.0
1057532-3-LP26;1;Organizaciones sociales, laborales y clubes / Organizaciones, asociaciones y movimientos cívicos / Organizaciones de beneficencia;94131601;Hogares de beneficencia;ADQUISICIÓN 8 CUPOS DÍA HOGAR PROTEGIDO PARA HOMBRES PARA EL SERVICIO DE SALUD OSORNO EN LA PROVINCIA DE OSORNO;Unidad;1.0;;;0.0;0.0
1057532-4-LP26;1;Artículos para estructuras, obras y construcciones / Construcciones permanentes / Construcciones para alojamiento;30222501;Casas residenciales;10 CUPOS RESIDENCIA PROTEGIDA DE ALTA COMPLEJIDAD PARA EL SERVICIO DE SALUD OSORNO EN LA CIUDAD DE OSORNO;Unidad;1.0;;;0.0;0.0
1057532-5-LP26;1;Artículos para estructuras, obras y construcciones / Construcciones permanentes / Construcciones para alojamiento;30222501;Casas residenciales;ADQUISICIÓN 3 CUPOS RESIDENCIA PROTEGIDA DE PARA EL SERVICIO DE SALUD OSORNO EN LA PROVINCIA DE CONCEPCIÓN;Unidad;1.0;;;0.0;0.0
1057532-7-LE26;1;Servicios de construcción y mantenimiento / Servicios de atención, mantenimiento y reparaciones de edificios / Gasfitería, calefacción y aire acondicionado;72102301;Supervisión de instalación, ajuste o mantenimiento de calderas;Convenio Servicios de Mantención de Calderas y Red de Calefacción/Vapor de Establecimientos Dependientes del Servicio de Salud Osorno Periodo 2026-2027 Segundo Llamado;Unidad;8.0;;;0.0;0.0
1057532-9-LE26;1;Servicios de transporte, almacenaje y correo / Servicios de mantención o reparaciones de transportes / Mantención o reparación de vehículos;78180103;Servicios de cambio de fluidos de aceite o de la transmisión;CONVENIO DE SERVICIO DE MANTENCIONES PREVENTIVAS, CORRECTIVAS Y/O REPARATIVAS 2026-2027 PARA BUS MITSUBISHI FUSO ROSA DEL HOSPITAL FUTA SRÜKA LAWENCHE KUNKO MAPU MO DEL SSO.;Unidad;1.0;;;0.0;0.0
1057922-1-LR26;1;Equipamiento para laboratorios / Equipos e insumos para laboratorio / Equipo de física de electrones y de estado sólido para laboratorio;41101802;Generadores de rayos X;RAYOS X OSTEOPULMONAR;Unidad;1.0;;;0.0;0.0
1057922-1-LR26;2;Equipamiento y suministros médicos / Productos para la esterilización médica / Equipos y accesorios de esterilizadores y autoclaves;42281508;Esterilizadores o autoclaves de vapor;AUTOCLAVES + LAVADORA TERMODESINFECTADORA;Unidad;1.0;;;0.0;0.0
1057922-1-LR26;3;Artículos para estructuras, obras y construcciones / Estructuras prefabricadas / Construcciones médicas prefabricadas;30201903;Unidades dentales;UNIDAD DENTAL;Unidad;6.0;;;0.0;0.0
1057922-1-LR26;4;Equipamiento para laboratorios / Instrumentos de medida y experimentación / Equipo de examen no invasivo;41111808;Equipo de examen por rayos X;RAYOS X DENTAL;Unidad;1.0;;;0.0;0.0
